scenario,policy,steps,success,collision,timeout,done_reason,min_front_mean,avg_step_ms
scenarios/test_unseen_014.json,PPO+Shield,110,1,0,0,goal,17.2585809154944,0.3992430909255001
scenarios/test_unseen_015.json,PPO+Shield,111,1,0,0,goal,14.910234844362414,0.33799102704080297
scenarios/test_unseen_001.json,Hybrid,118,1,0,0,goal,19.40947485576242,0.34616966942879934
scenarios/test_unseen_002.json,Hybrid,108,1,0,0,goal,15.812993407801345,0.3088650092582544
scenarios/test_unseen_003.json,Hybrid,110,1,0,0,goal,17.865008132024244,0.3644585362962971
scenarios/test_unseen_004.json,Hybrid,109,1,0,0,goal,20.0,0.3812327890079084
scenarios/test_unseen_005.json,Hybrid,132,1,0,0,goal,18.277713213906143,0.38872081815745996
scenarios/test_unseen_006.json,Hybrid,111,1,0,0,goal,16.53422931507901,0.36157467561966145
scenarios/test_unseen_007.json,Hybrid,157,1,0,0,goal,16.457318148035913,0.3356776178407017
scenarios/test_unseen_008.json,Hybrid,117,1,0,0,goal,19.229180998272366,0.31473176062345143
scenarios/test_unseen_009.json,Hybrid,140,1,0,0,goal,19.194860664435794,0.33443960004270984
scenarios/test_unseen_010.json,Hybrid,105,1,0,0,goal,15.874654361179896,0.3267597333563442
scenarios/test_unseen_011.json,Hybrid,131,1,0,0,goal,15.412229713137823,0.3405091984158396
scenarios/test_unseen_012.json,Hybrid,155,1,0,0,goal,18.239632145051033,0.3349905032542489
scenarios/test_unseen_013.json,Hybrid,115,1,0,0,goal,15.075923998459526,0.3437070087270315
scenarios/test_unseen_014.json,Hybrid,110,1,0,0,goal,17.2585809154944,0.3292163454385776
scenarios/test_unseen_015.json,Hybrid,111,1,0,0,goal,14.910234844362414,0.3679999278926868
