scenario,reason,success,collision,steps,min_front,wall_time_s,avg_step_ms,policy
scenarios/test_unseen_001.json,collision,0,1,41,0.03017377480864525,0.0012484149997362692,0.030449146335030958,FSM
scenarios/test_unseen_002.json,goal,1,0,105,1.279104232788086,0.0021006710003348417,0.020006390479379445,FSM
scenarios/test_unseen_003.json,goal,1,0,116,0.007653126027435064,0.002089998999963427,0.018017232758305406,FSM
scenarios/test_unseen_004.json,goal,1,0,105,20.0,0.0018318130000807287,0.01744583809600694,FSM
scenarios/test_unseen_005.json,goal,1,0,110,0.699070155620575,0.0028164129998913268,0.025603754544466607,FSM
scenarios/test_unseen_006.json,collision,0,1,86,0.022949183359742165,0.0017164689998026006,0.019958941858169776,FSM
scenarios/test_unseen_007.json,collision,0,1,53,0.04419202730059624,0.0009947389999069856,0.018768660375603503,FSM
scenarios/test_unseen_008.json,collision,0,1,88,0.03922320529818535,0.00182770800029175,0.020769409094224433,FSM
scenarios/test_unseen_009.json,collision,0,1,99,0.19088508188724518,0.002150512999833154,0.021722353533668224,FSM
scenarios/test_unseen_010.json,goal,1,0,105,20.0,0.0020357110001896217,0.01938772381132973,FSM
scenarios/test_unseen_011.json,collision,0,1,92,0.04749482125043869,0.003029202000107034,0.03292610869681559,FSM
scenarios/test_unseen_012.json,collision,0,1,98,0.013815241865813732,0.00224417400022503,0.022899734696173773,FSM
scenarios/test_unseen_013.json,collision,0,1,100,0.022117948159575462,0.001985776999845257,0.019857769998452568,FSM
scenarios/test_unseen_014.json,collision,0,1,28,0.1133730411529541,0.0005883019998691452,0.021010785709612328,FSM
scenarios/test_unseen_015.json,goal,1,0,109,0.0903373435139656,0.0017685239999991609,0.016224990825680376,FSM
scenarios/test_unseen_001.json,collision,0,1,35,0.006918462924659252,0.02603266400001303,0.7437904000003722,IL
scenarios/test_unseen_002.json,goal,1,0,105,1.279104232788086,0.012872481000158587,0.1225950571443675,IL
scenarios/test_unseen_003.json,collision,0,1,59,0.1058519035577774,0.007119479000266438,0.12066913559773623,IL
scenarios/test_unseen_004.json,goal,1,0,105,20.0,0.010194253000008757,0.09708812380960721,IL
scenarios/test_unseen_005.json,goal,1,0,111,1.9112069606781006,0.010496071000034135,0.09455919819850572,IL
scenarios/test_unseen_006.json,goal,1,0,116,0.05954117327928543,0.012567803999900207,0.1083431379301742,IL
scenarios/test_unseen_007.json,goal,1,0,113,0.0745430737733841,0.01165746600008788,0.10316341592998124,IL
scenarios/test_unseen_008.json,goal,1,0,146,0.005303334444761276,0.013581618999978673,0.0930247876710868,IL
scenarios/test_unseen_009.json,collision,0,1,79,0.048544369637966156,0.007797914000093442,0.09870777215308155,IL
scenarios/test_unseen_010.json,goal,1,0,105,20.0,0.00963025999999445,0.09171676190470905,IL
scenarios/test_unseen_011.json,collision,0,1,42,0.09310388565063477,0.004525819000264164,0.10775759524438486,IL
scenarios/test_unseen_012.json,collision,0,1,61,0.08799664676189423,0.005852364000020316,0.095940393442956,IL
scenarios/test_unseen_013.json,collision,0,1,100,0.14959217607975006,0.01074191299994709,0.1074191299994709,IL
scenarios/test_unseen_014.json,collision,0,1,25,0.009454216808080673,0.0028427619995454734,0.11371047998181893,IL
scenarios/test_unseen_015.json,goal,1,0,108,4.544672012329102,0.01069839999991018,0.0990592592584276,IL
